Energy,Nanopatterned CoO Transmission, CoPd Transmission
768.5,0.7614,0.53919
768.63,0.7611,0.53887
768.75,0.76151,0.53935
768.88,0.7613,0.53956
769,0.76149,0.53979
769.13,0.7617,0.53986
769.25,0.76099,0.54006
769.38,0.76162,0.54001
769.5,0.76115,0.53981
769.63,0.76157,0.54005
769.75,0.7615,0.54015
769.88,0.76177,0.54009
770,0.76139,0.53984
770.13,0.76152,0.54035
770.25,0.76199,0.5407
770.38,0.76179,0.54069
770.5,0.76163,0.54074
770.63,0.76219,0.54085
770.75,0.76241,0.54114
770.88,0.76252,0.54078
771,0.76152,0.54149
771.13,0.76228,0.54144
771.25,0.76265,0.54129
771.38,0.7624,0.54174
771.5,0.76239,0.54162
771.63,0.76263,0.54139
771.75,0.76255,0.54133
771.88,0.76225,0.54102
772,0.76293,0.54171
772.13,0.7624,0.54148
772.25,0.76238,0.54158
772.38,0.76278,0.54174
772.5,0.76283,0.54171
772.63,0.76272,0.54113
772.75,0.76237,0.54173
772.88,0.76246,0.54217
773,0.76263,0.54193
773.13,0.76271,0.5416
773.25,0.76206,0.54201
773.38,0.76221,0.54163
773.5,0.76254,0.54146
773.63,0.76221,0.54199
773.75,0.76211,0.54194
773.88,0.76183,0.54128
774,0.76145,0.54162
774.13,0.76144,0.54107
774.25,0.76081,0.54064
774.38,0.7603,0.54007
774.5,0.75983,0.53948
774.63,0.75854,0.53889
774.75,0.75792,0.5381
774.88,0.75695,0.53736
775,0.75504,0.53625
775.13,0.75325,0.53517
775.25,0.74988,0.53365
775.38,0.74653,0.532
775.5,0.74065,0.53
775.63,0.73111,0.52724
775.75,0.71339,0.52462
775.88,0.68405,0.52018
776,0.64646,0.5144
776.13,0.63443,0.50675
776.25,0.65405,0.49646
776.38,0.67063,0.47704
776.5,0.6649,0.4499
776.63,0.63973,0.41144
776.75,0.60971,0.36429
776.88,0.5743,0.31668
777,0.55264,0.27634
777.13,0.53261,0.24378
777.25,0.50793,0.22079
777.38,0.48861,0.20072
777.5,0.47552,0.19054
777.63,0.48006,0.1853
777.75,0.49287,0.18911
777.88,0.49429,0.19879
778,0.48868,0.21233
778.13,0.49279,0.22581
778.25,0.50521,0.23877
778.38,0.51498,0.25261
778.5,0.51525,0.266
778.63,0.50083,0.27773
778.75,0.47572,0.29213
778.88,0.45336,0.30352
779,0.45047,0.31541
779.13,0.459,0.32432
779.25,0.47103,0.33315
779.38,0.48248,0.34109
779.5,0.49631,0.34835
779.63,0.51163,0.35463
779.75,0.52823,0.35951
779.88,0.54335,0.3653
780,0.55669,0.36897
780.13,0.56833,0.3736
780.25,0.5821,0.37704
780.38,0.59494,0.38118
780.5,0.60552,0.38451
780.63,0.61428,0.38792
780.75,0.62146,0.39207
780.88,0.62572,0.39598
781,0.63173,0.39943
781.13,0.63633,0.40306
781.25,0.64289,0.40649
781.38,0.65125,0.41097
781.5,0.65906,0.41494
781.63,0.66734,0.41915
781.75,0.67509,0.4227
781.88,0.68297,0.42672
782,0.68999,0.4298
782.13,0.69722,0.43328
782.25,0.70286,0.43607
782.38,0.70824,0.43905
782.5,0.71242,0.44134
782.63,0.71724,0.44375
782.75,0.72101,0.4462
782.88,0.72433,0.44784
783,0.72692,0.44916
783.13,0.7288,0.45114
783.25,0.7315,0.45207
783.38,0.73282,0.45353
783.5,0.73429,0.45464
783.63,0.73588,0.4551
783.75,0.73711,0.45543
783.88,0.73829,0.45675
784,0.73937,0.45732
784.13,0.74004,0.45815
784.25,0.74147,0.45849
784.38,0.74232,0.45914
784.5,0.74323,0.45965
784.63,0.7441,0.46008
784.75,0.74479,0.46054
784.88,0.74506,0.46087
785,0.7457,0.46164
785.13,0.74613,0.46241
785.25,0.74628,0.46285
785.38,0.7472,0.46349
785.5,0.74732,0.46383
785.63,0.74779,0.46414
